Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"screws and thread inserts","build",1,4.10,"https://onlyscrews.in/a/cart?cart-token=2tY5s2&link-token=10JKFq","onlyscrews.in"
"3D Printing","build",16,34.96,"https://robu.in/product/3d-printing-service1/","Robu.in"
"Gloves","holding the motion sensor pack",1,5.02,"https://www.amazon.in/MOMISY-Copper-Infused-Fingerless-Compression-Tendonitis/dp/B09HV4BFLP?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&smid=A1J2X3S44WVEG1","Amazon.in"
"straps","for holding the battery pack on my hand",1,0.72,"https://www.amazon.in/Glimzo-Velcro-Tape-Buckles-Management/dp/B0GX9J13YC","amazon.in"
"jumper wires","connection of modules",1,0.42,"https://robu.in/product/10cm-female-female-breadboard-jumper-dupont-2-54mm-1p-1p-cable-40-pcs/","Robu.in"
"flex sensor","gripper movement",1,2.03,"https://robocraze.com/products/flex-sensor-2-2?variant=40192405504153&country=IN&currency=INR","Robocraze.com"
"BNO055","IMU for robotic arm movement",1,19.87,"https://robu.in/product/df-robot-febno055-intelligent-9-axis-sensor-rmion-bno055-intelligent-9-axis-sensor-breakout/","Robu.in"
"switch","on/off",1,0.17,"https://robu.in/product/6a-250v-ac-spst-on-off-rocker-switch/","robu.in"
"MT3608","Boost converter",1,0.35,"https://robu.in/product/mt3608-2a-max-dc-dc-step-up-power-module-booster-power-module/","robocraze.com"
"TP4056","Battery charger",1,0.15,"https://robocraze.com/products/tp4056-battery-charger-c-type-module-with-protection-1?variant=46170796261600&country=IN&currency=INR&utm_term=&campaignid=23777811270&adgroupid=&campaign=23777811270","robocraze.com"
"18650 Battery holder","battery holder",1,6.06,"https://robu.in/product/1-x-18650-cell-box/","robu.in"
"18650 Li-Ion battery","battery",1,6.06,"https://robu.in/product/samsung-18650-30q-li-ion-battery/","robu.in"
"PCA9685","Servo driver",1,2.40,"https://robocraze.com/products/pca9685-16-channel-servo-motor-driversoldered?variant=40193677721753&country=IN&currency=INR","robocraze.com"
"WP5320","SERVO",6,82.30,"https://hubtronics.in/wp5320","Hubtronics.in"
"ESP32","Main control unit ",2,8.70,"https://robu.in/product/esp-wroom-32-wifi-bluetooth-networking-smart-component-development-board/","Robu.in"
